country,dc_id,sku,year,week,week_start,demand_raw,source_file,source_sheet,product_name
Spain,100,00119-066-001,2022,16,2022-04-18,306.0,ES Gazpacho.xlsx,ShortBaseByYear_Week,GAZPACHO (17783-000)
Spain,100,00119-066-001,2022,16,2022-04-18,188.0,ES Gazpacho.xlsx,ShortBaseByYear_Week,GAZPACHO (17783-000)
Spain,100,00119-066-001,2022,18,2022-05-02,0.0,ES Gazpacho.xlsx,ShortBaseByYear_Week,GAZPACHO (17783-000)
Spain,100,00119-066-001,2022,18,2022-05-02,619.0,ES Gazpacho.xlsx,ShortBaseByYear_Week,GAZPACHO (17783-000)
Spain,100,00119-066-001,2022,52,2022-12-26,31.0,ES Gazpacho.xlsx,ShortBaseByYear_Week,GAZPACHO (17783-000)
Spain,100,00119-066-001,2022,52,2022-12-26,598.0,ES Gazpacho.xlsx,ShortBaseByYear_Week,GAZPACHO (17783-000)
Spain,200,00119-066-001,2022,16,2022-04-18,145.0,ES Gazpacho.xlsx,ShortBaseByYear_Week,GAZPACHO (17783-000)
Spain,200,00119-066-001,2022,16,2022-04-18,200.0,ES Gazpacho.xlsx,ShortBaseByYear_Week,GAZPACHO (17783-000)
Spain,200,00119-066-001,2022,35,2022-08-29,0.0,ES Gazpacho.xlsx,ShortBaseByYear_Week,GAZPACHO (17783-000)
Spain,200,00119-066-001,2022,35,2022-08-29,974.0,ES Gazpacho.xlsx,ShortBaseByYear_Week,GAZPACHO (17783-000)
Spain,200,00119-066-001,2022,52,2022-12-26,18.0,ES Gazpacho.xlsx,ShortBaseByYear_Week,GAZPACHO (17783-000)
Spain,200,00119-066-001,2022,52,2022-12-26,386.0,ES Gazpacho.xlsx,ShortBaseByYear_Week,GAZPACHO (17783-000)
Spain,300,00119-066-001,2022,18,2022-05-02,4.0,ES Gazpacho.xlsx,ShortBaseByYear_Week,GAZPACHO (17783-000)
Spain,300,00119-066-001,2022,18,2022-05-02,26.0,ES Gazpacho.xlsx,ShortBaseByYear_Week,GAZPACHO (17783-000)
Spain,400,00119-066-001,2022,16,2022-04-18,85.0,ES Gazpacho.xlsx,ShortBaseByYear_Week,GAZPACHO (17783-000)
Spain,400,00119-066-001,2022,16,2022-04-18,94.0,ES Gazpacho.xlsx,ShortBaseByYear_Week,GAZPACHO (17783-000)
Spain,400,00119-066-001,2022,52,2022-12-26,20.0,ES Gazpacho.xlsx,ShortBaseByYear_Week,GAZPACHO (17783-000)
Spain,400,00119-066-001,2022,52,2022-12-26,229.0,ES Gazpacho.xlsx,ShortBaseByYear_Week,GAZPACHO (17783-000)
Spain,700,00119-066-001,2022,16,2022-04-18,44.0,ES Gazpacho.xlsx,ShortBaseByYear_Week,GAZPACHO (17783-000)
Spain,700,00119-066-001,2022,16,2022-04-18,102.0,ES Gazpacho.xlsx,ShortBaseByYear_Week,GAZPACHO (17783-000)
Spain,700,00119-066-001,2022,17,2022-04-25,47.0,ES Gazpacho.xlsx,ShortBaseByYear_Week,GAZPACHO (17783-000)
Spain,700,00119-066-001,2022,17,2022-04-25,97.0,ES Gazpacho.xlsx,ShortBaseByYear_Week,GAZPACHO (17783-000)
Spain,700,00119-066-001,2022,18,2022-05-02,30.0,ES Gazpacho.xlsx,ShortBaseByYear_Week,GAZPACHO (17783-000)
Spain,700,00119-066-001,2022,18,2022-05-02,122.0,ES Gazpacho.xlsx,ShortBaseByYear_Week,GAZPACHO (17783-000)
Spain,700,00119-066-001,2022,20,2022-05-16,0.0,ES Gazpacho.xlsx,ShortBaseByYear_Week,GAZPACHO (17783-000)
Spain,700,00119-066-001,2022,20,2022-05-16,191.0,ES Gazpacho.xlsx,ShortBaseByYear_Week,GAZPACHO (17783-000)
Spain,700,00119-066-001,2022,52,2022-12-26,11.0,ES Gazpacho.xlsx,ShortBaseByYear_Week,GAZPACHO (17783-000)
Spain,700,00119-066-001,2022,52,2022-12-26,174.0,ES Gazpacho.xlsx,ShortBaseByYear_Week,GAZPACHO (17783-000)
