model,mean_wape,median_wape,mean_mae,n_series
seasonal_naive,0.3267828854802967,0.22884668785474224,394.6959796389016,13
naive,0.3247685104947946,0.23214835705577222,429.894238051889,13
drift,0.33508169402049626,0.23804494308180282,436.17831733585354,13
