country,n_series,median_wape,mean_wape,p90_wape,best_model_mode
Germany,1,0.12109365323481915,0.12109365323481915,0.12109365323481915,seasonal_naive
Sweden,3,0.1724927838720135,0.20387288123968636,0.3066632564613501,seasonal_naive
Spain,2,0.1860361888639136,0.1860361888639136,0.22028458805657652,seasonal_naive
Portugal,2,0.27529008704631086,0.27529008704631086,0.3251218739532477,naive
Poland,2,0.29959020355743615,0.29959020355743615,0.4716482459900796,drift
Romania,3,0.42145121641198513,0.5593017258221705,0.8795935936162554,naive
