country,dc_id,sku,product_name,year,week,demand_raw,is_spike,is_zero,is_low,source_files
Germany,700,00004-807-019,Pommes Frites I,2022,37,5739.0,False,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2022,38,6044.0,True,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2022,39,5948.0,False,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2022,40,5802.0,False,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2022,41,5487.0,False,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2022,42,7574.0,True,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2022,43,6667.0,True,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2022,44,5937.0,False,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2022,45,6572.0,True,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2022,46,6567.0,True,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2022,47,5204.0,False,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2022,48,5226.0,False,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2022,49,6875.0,True,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2022,50,5979.0,True,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2022,51,6836.0,True,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2022,52,6839.0,True,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2023,1,7093.0,True,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2023,2,6038.0,True,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2023,3,5504.0,False,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2023,4,5206.0,False,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2023,5,5480.0,False,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2023,6,6541.0,True,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2023,7,7294.0,True,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2023,8,7648.0,True,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2023,9,5282.0,False,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2023,10,5672.0,False,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2023,11,6274.0,True,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2023,12,7025.0,True,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2023,13,5971.0,True,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2023,14,7476.0,True,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2023,15,7557.0,True,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2023,16,7513.0,True,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2023,17,6542.0,True,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2023,18,6781.0,True,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2023,19,9194.0,True,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2023,20,7183.0,True,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2023,21,7067.0,True,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2023,22,6432.0,True,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2023,23,7322.0,True,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2023,24,6773.0,True,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2023,25,5629.0,False,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2023,26,6358.0,True,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2023,27,7903.0,True,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2023,28,7896.0,True,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2023,29,6966.0,True,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2023,30,7736.0,True,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2023,31,8474.0,True,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2023,32,8533.0,True,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2023,33,7176.0,True,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2023,34,7027.0,True,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2023,35,5412.0,False,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2023,36,7521.0,True,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2023,37,6466.0,True,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2023,38,6751.0,True,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2023,39,8567.0,True,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2023,40,7016.0,True,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2023,41,5578.0,False,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2023,42,7246.0,True,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2023,43,7666.0,True,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2023,44,5923.0,False,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2023,45,7525.0,True,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2023,46,5879.0,False,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2023,47,6700.0,True,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2023,48,6942.0,True,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2023,49,5792.0,False,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2023,50,7726.0,True,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2023,51,9015.0,True,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2023,52,8208.0,True,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2024,1,6207.0,True,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2024,2,4913.0,False,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2024,3,5934.0,False,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2024,4,6127.0,True,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2024,5,7628.0,True,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2024,6,7067.0,True,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2024,7,6588.0,True,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2024,8,5077.0,False,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2024,9,5175.0,False,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2024,10,6410.0,True,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2024,11,6705.0,True,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2024,12,8360.0,True,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2024,13,7437.0,True,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2024,14,6455.0,True,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2024,15,5803.0,False,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2024,16,6029.0,True,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2024,17,8296.0,True,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2024,18,7355.0,True,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2024,19,7607.0,True,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2024,20,6926.0,True,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2024,21,7405.0,True,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2024,22,5196.0,False,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2024,23,6873.0,True,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2024,24,6829.0,True,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2024,25,7253.0,True,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2024,26,6748.0,True,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2024,27,5562.0,False,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2024,28,2052.0,False,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2024,33,5761.0,False,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2024,34,8255.0,True,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2024,35,7803.0,True,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2024,36,7278.0,True,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2024,37,7137.0,True,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2024,38,7510.0,True,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2024,39,8725.0,True,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2024,40,6151.0,True,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2024,41,7665.0,True,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2024,42,7207.0,True,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2024,43,6989.0,True,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2024,44,7531.0,True,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2024,45,7815.0,True,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2024,46,5662.0,False,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2024,47,7365.0,True,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2024,48,7474.0,True,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2024,49,7002.0,True,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2024,50,6453.0,True,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2024,51,8161.0,True,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2024,52,8401.0,True,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2025,1,7587.0,True,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2025,2,5276.0,False,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2025,3,5464.0,False,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2025,4,6477.0,True,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2025,5,6887.0,True,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2025,6,7228.0,True,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2025,7,6708.0,True,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2025,8,6490.0,True,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2025,9,9643.0,True,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2025,10,7841.0,True,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2025,11,447.0,False,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2025,20,3516.0,False,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2025,21,5913.0,False,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2025,22,7809.0,True,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2025,23,8476.0,True,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2025,24,6170.0,True,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2025,25,6778.0,True,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2025,26,6950.0,True,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2025,27,4990.0,False,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2025,28,6440.0,True,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2025,29,8821.0,True,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2025,30,8872.0,True,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2025,31,8884.0,True,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2025,32,8153.0,True,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2025,33,8291.0,True,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2025,34,7127.0,True,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2025,35,7407.0,True,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2025,36,7180.0,True,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2025,37,5883.0,False,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2025,38,6368.0,True,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2025,39,6669.0,True,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2025,40,8958.0,True,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2025,41,7330.0,True,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2025,42,7666.0,True,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2025,43,6070.0,True,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2025,44,7392.0,True,False,False,Germany 4-807-019.xlsx
Germany,700,00004-807-019,Pommes Frites I,2025,45,4944.0,False,False,False,Germany 4-807-019.xlsx
Germany,100,00019-003-003,Coca Cola 20 L BIB,2021,52,4.0,False,False,True,Germany 19-003-003.xlsx
Germany,100,00019-003-003,Coca Cola 20 L BIB,2022,1,1922.0,False,False,False,Germany 19-003-003.xlsx
Germany,100,00019-003-003,Coca Cola 20 L BIB,2022,2,1769.0,False,False,False,Germany 19-003-003.xlsx
Germany,100,00019-003-003,Coca Cola 20 L BIB,2022,3,1586.0,False,False,False,Germany 19-003-003.xlsx
Germany,100,00019-003-003,Coca Cola 20 L BIB,2022,4,1473.0,False,False,False,Germany 19-003-003.xlsx
Germany,100,00019-003-003,Coca Cola 20 L BIB,2022,5,1466.0,False,False,False,Germany 19-003-003.xlsx
Germany,100,00019-003-003,Coca Cola 20 L BIB,2022,6,1598.0,False,False,False,Germany 19-003-003.xlsx
Germany,100,00019-003-003,Coca Cola 20 L BIB,2022,7,1457.0,False,False,False,Germany 19-003-003.xlsx
Germany,100,00019-003-003,Coca Cola 20 L BIB,2022,8,1477.0,False,False,False,Germany 19-003-003.xlsx
Germany,100,00019-003-003,Coca Cola 20 L BIB,2022,9,1319.0,False,False,False,Germany 19-003-003.xlsx
Germany,100,00019-003-003,Coca Cola 20 L BIB,2022,10,122.0,False,False,False,Germany 19-003-003.xlsx
Germany,100,00019-003-003,Coca Cola 20 L BIB,2022,11,622.0,False,False,False,Germany 19-003-003.xlsx
Germany,100,00019-003-003,Coca Cola 20 L BIB,2022,12,3732.0,False,False,False,Germany 19-003-003.xlsx
Germany,100,00019-003-003,Coca Cola 20 L BIB,2022,13,1557.0,False,False,False,Germany 19-003-003.xlsx
Germany,100,00019-003-003,Coca Cola 20 L BIB,2022,14,1656.0,False,False,False,Germany 19-003-003.xlsx
Germany,100,00019-003-003,Coca Cola 20 L BIB,2022,15,1514.0,False,False,False,Germany 19-003-003.xlsx
Germany,100,00019-003-003,Coca Cola 20 L BIB,2022,16,1368.0,False,False,False,Germany 19-003-003.xlsx
Germany,100,00019-003-003,Coca Cola 20 L BIB,2022,17,1373.0,False,False,False,Germany 19-003-003.xlsx
Germany,100,00019-003-003,Coca Cola 20 L BIB,2022,18,1313.0,False,False,False,Germany 19-003-003.xlsx
Germany,100,00019-003-003,Coca Cola 20 L BIB,2022,19,1603.0,False,False,False,Germany 19-003-003.xlsx
Germany,100,00019-003-003,Coca Cola 20 L BIB,2022,20,1672.0,False,False,False,Germany 19-003-003.xlsx
Germany,100,00019-003-003,Coca Cola 20 L BIB,2022,21,1760.0,False,False,False,Germany 19-003-003.xlsx
Germany,100,00019-003-003,Coca Cola 20 L BIB,2022,22,2121.0,False,False,False,Germany 19-003-003.xlsx
Germany,100,00019-003-003,Coca Cola 20 L BIB,2022,23,1985.0,False,False,False,Germany 19-003-003.xlsx
Germany,100,00019-003-003,Coca Cola 20 L BIB,2022,24,1889.0,False,False,False,Germany 19-003-003.xlsx
Germany,100,00019-003-003,Coca Cola 20 L BIB,2022,25,1552.0,False,False,False,Germany 19-003-003.xlsx
Germany,100,00019-003-003,Coca Cola 20 L BIB,2022,26,1729.0,False,False,False,Germany 19-003-003.xlsx
Germany,100,00019-003-003,Coca Cola 20 L BIB,2022,27,1806.0,False,False,False,Germany 19-003-003.xlsx
Germany,100,00019-003-003,Coca Cola 20 L BIB,2022,28,1628.0,False,False,False,Germany 19-003-003.xlsx
Germany,100,00019-003-003,Coca Cola 20 L BIB,2022,29,1720.0,False,False,False,Germany 19-003-003.xlsx
Germany,100,00019-003-003,Coca Cola 20 L BIB,2022,30,1662.0,False,False,False,Germany 19-003-003.xlsx
Germany,100,00019-003-003,Coca Cola 20 L BIB,2022,31,1387.0,False,False,False,Germany 19-003-003.xlsx
Germany,100,00019-003-003,Coca Cola 20 L BIB,2022,32,1842.0,False,False,False,Germany 19-003-003.xlsx
Germany,100,00019-003-003,Coca Cola 20 L BIB,2022,33,1731.0,False,False,False,Germany 19-003-003.xlsx
Germany,100,00019-003-003,Coca Cola 20 L BIB,2022,34,1718.0,False,False,False,Germany 19-003-003.xlsx
Germany,100,00019-003-003,Coca Cola 20 L BIB,2022,35,1939.0,False,False,False,Germany 19-003-003.xlsx
Germany,100,00019-003-003,Coca Cola 20 L BIB,2022,36,2013.0,False,False,False,Germany 19-003-003.xlsx
Germany,100,00019-003-003,Coca Cola 20 L BIB,2022,37,1627.0,False,False,False,Germany 19-003-003.xlsx
Germany,100,00019-003-003,Coca Cola 20 L BIB,2022,38,1577.0,False,False,False,Germany 19-003-003.xlsx
Germany,100,00019-003-003,Coca Cola 20 L BIB,2022,39,1756.0,False,False,False,Germany 19-003-003.xlsx
Germany,100,00019-003-003,Coca Cola 20 L BIB,2022,40,1671.0,False,False,False,Germany 19-003-003.xlsx
Germany,100,00019-003-003,Coca Cola 20 L BIB,2022,41,1429.0,False,False,False,Germany 19-003-003.xlsx
Germany,100,00019-003-003,Coca Cola 20 L BIB,2022,42,1528.0,False,False,False,Germany 19-003-003.xlsx
Germany,100,00019-003-003,Coca Cola 20 L BIB,2022,43,1725.0,False,False,False,Germany 19-003-003.xlsx
Germany,100,00019-003-003,Coca Cola 20 L BIB,2022,44,1753.0,False,False,False,Germany 19-003-003.xlsx
