country,dc_id,sku,year,week,week_start,demand_raw,source_file,source_sheet,product_name
Germany,700,00004-807-019,2022,32,2022-08-08,6150.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2022,33,2022-08-15,6542.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2022,34,2022-08-22,6163.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2022,35,2022-08-29,6310.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2022,36,2022-09-05,5220.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2022,37,2022-09-12,5739.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2022,38,2022-09-19,6044.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2022,39,2022-09-26,5948.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2022,40,2022-10-03,5802.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2022,41,2022-10-10,5487.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2022,42,2022-10-17,7574.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2022,43,2022-10-24,6667.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2022,44,2022-10-31,5937.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2022,45,2022-11-07,6572.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2022,46,2022-11-14,6567.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2022,47,2022-11-21,5204.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2022,48,2022-11-28,5226.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2022,49,2022-12-05,6875.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2022,50,2022-12-12,5979.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2022,51,2022-12-19,6836.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2022,52,2022-12-26,6839.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2023,1,2023-01-02,7093.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2023,2,2023-01-09,6038.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2023,3,2023-01-16,5504.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2023,4,2023-01-23,5206.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2023,5,2023-01-30,5480.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2023,6,2023-02-06,6541.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2023,7,2023-02-13,7294.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2023,8,2023-02-20,7648.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2023,9,2023-02-27,5282.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2023,10,2023-03-06,5672.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2023,11,2023-03-13,6274.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2023,12,2023-03-20,7025.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2023,13,2023-03-27,5971.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2023,14,2023-04-03,7476.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2023,15,2023-04-10,7557.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2023,16,2023-04-17,7513.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2023,17,2023-04-24,6542.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2023,18,2023-05-01,6781.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2023,19,2023-05-08,9194.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2023,20,2023-05-15,7183.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2023,21,2023-05-22,7067.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2023,22,2023-05-29,6432.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2023,23,2023-06-05,7322.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2023,24,2023-06-12,6773.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2023,25,2023-06-19,5629.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2023,26,2023-06-26,6358.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2023,27,2023-07-03,7903.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2023,28,2023-07-10,7896.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2023,29,2023-07-17,6966.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2023,30,2023-07-24,7736.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2023,31,2023-07-31,8474.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2023,32,2023-08-07,8533.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2023,33,2023-08-14,7176.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2023,34,2023-08-21,7027.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2023,35,2023-08-28,5412.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2023,36,2023-09-04,7521.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2023,37,2023-09-11,6466.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2023,38,2023-09-18,6751.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2023,39,2023-09-25,8567.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2023,40,2023-10-02,7016.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2023,41,2023-10-09,5578.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2023,42,2023-10-16,7246.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2023,43,2023-10-23,7666.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2023,44,2023-10-30,5923.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2023,45,2023-11-06,7525.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2023,46,2023-11-13,5879.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2023,47,2023-11-20,6700.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2023,48,2023-11-27,6942.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2023,49,2023-12-04,5792.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2023,50,2023-12-11,7726.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2023,51,2023-12-18,9015.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2023,52,2023-12-25,8208.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2024,1,2024-01-01,6207.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2024,2,2024-01-08,4913.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2024,3,2024-01-15,5934.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2024,4,2024-01-22,6127.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2024,5,2024-01-29,7628.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2024,6,2024-02-05,7067.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2024,7,2024-02-12,6588.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2024,8,2024-02-19,5077.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2024,9,2024-02-26,5175.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2024,10,2024-03-04,6410.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2024,11,2024-03-11,6705.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2024,12,2024-03-18,8360.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2024,13,2024-03-25,7437.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2024,14,2024-04-01,6455.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2024,15,2024-04-08,5803.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
